parents_id,num_campaigns,frst_startdate,num_startdate,parentcampaignname,campaignname,startdate,enddate,meeting,event,anchor,campus,gnep,hazelwood,hill,homewood,olli,oakland,resp_connect,volunteer,firsttime,frst_inquiry,frst_outreach,followup_mtg,reoccurring,repeat,community_mtg,standalone,scheduling,concerns,other,internal,organization,resident,student,economic,education,healthcare,soc_community,neighborhood,sdoh_othr,eventduration,totalattendees,dayspast
30,1,23638,23638,CEC - College in High School,9.19.24 College in High School - Life Sciences Pathway,9/19/2024,9/19/2024,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
31,1,23622,23622,CEC - Department of Africana Studies,Meeting to discuss Communiversity Course - 9/3/24,9/3/2024,9/3/2024,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
34,1,23580,23580,CEC - Department of Psychology,Health Inequities,7/23/2024,7/23/2024,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0
34,2,23580,23635,CEC - Department of Psychology,9.16.24 Youth Research Advisory Board Overview,9/16/2024,9/16/2024,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,55
43,1,23645,23645,CES/DEI T&P Workshop Planning,Planning Session - 9/26/24,9/26/2024,9/26/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
43,2,23645,23693,CES/DEI T&P Workshop Planning,Planning - 11/13/24,11/13/2024,11/13/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,48
43,3,23645,23714,CES/DEI T&P Workshop Planning,CES/DEI Informational Workshop,12/4/2024,12/4/2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,69
50,2,23574,23574,Campus Protest Community Engagement Support Intake,Sustainability Planning for STEM through Game Design Intake,7/17/2024,7/17/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
52,2,23672,23672,Carnegie Reclassification Committee,Carnegie Reclassification Expenditures data review mtg - 10/23/2024,10/23/2024,10/23/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
52,3,23672,23693,Carnegie Reclassification Committee,Carnegie Follow Up Mtg: ECA + UCM,11/13/2024,11/13/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,21
61,1,23625,23625,Center for Urban Education (CUE),Meeting re: Programming in WHSD,9/6/2024,9/6/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
64,2,23687,23687,Christmas Day at Pitt (CDAP),CDAP Meeting w/ Fraternity & Sorority Life - 11/7/24,11/7/2024,11/7/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
64,3,23687,23695,Christmas Day at Pitt (CDAP),University Relations Wrapping Party Planning Meeting - 11/15/24,11/15/2024,11/15/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8
64,4,23687,23705,Christmas Day at Pitt (CDAP),CDAP Pitt News Interview - 11/25/24,11/25/2024,11/25/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,18
64,5,23687,23713,Christmas Day at Pitt (CDAP),Christmas Day at Pitt Planning Meeting - 12/3/23,12/3/2024,12/3/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,26
64,6,23687,23721,Christmas Day at Pitt (CDAP),Christmas Day at Pitt Shadyside Academy Interview - 12/11/24,12/11/2024,12/11/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,34
72,1,23607,23607,Communiversity: Intermediate Nonfiction,Communiversity course at the Hill CEC,8/19/2024,8/19/2024,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
72,2,23607,23629,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 9-10-24,9/10/2024,9/10/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,22
72,3,23607,23636,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 9-17-24,9/17/2024,9/17/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,29
72,4,23607,23643,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 9-24-24,9/24/2024,9/24/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,36
72,5,23607,23650,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 10-1-24,10/1/2024,10/1/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,43
72,6,23607,23657,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 10-8-24,10/8/2024,10/8/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,50
72,7,23607,23671,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 10-22-24,10/22/2024,10/22/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,64
72,8,23607,23678,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 10-29-24,10/29/2024,10/29/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,71
72,9,23607,23692,Communiversity: Intermediate Nonfiction,Communiversity | Creative Nonfiction 11-12-24,11/12/2024,11/12/2024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,85
73,1,23674,23674,Councilmember Bob Charland,Oakland Community Affairs Meeting w/ Bob Charland,10/25/2024,10/25/2024,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
76,1,23687,23687,Department of Epidemiology,Tour and Presentation of Homewood CEC,11/7/2024,11/7/2024,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0
79,1,23652,23652,Dual Enrollment Pilot Study,Dual Enrollment Consult - 10/3/24,10/3/2024,10/3/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
79,2,23652,23673,Dual Enrollment Pilot Study,Dual Enrollment meeting - 10/24/24,10/24/2024,10/24/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,21
79,3,23652,23729,Dual Enrollment Pilot Study,Dual Enrollment meeting - 12/19/24,12/19/2024,12/19/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,77
85,1,23623,23623,Economic Impact Report,Economic Impact Report refresh - 9/4/2024,9/4/2024,9/4/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
85,2,23623,23643,Economic Impact Report,EIR and Anchor meeting - 9/24/2024,9/24/2024,9/24/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20
95,1,23698,23698,HQ: Business and Operations,Data Consistency Working Group - 11/18/2024,11/18/2024,11/18/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0
97,1,23686,23686,HQ: David C. Frederick Honors College,Honors College and SWPA Hub 11/6/24,11/6/2024,11/6/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0
100,1,23659,23659,HQ: Office of Risk Management,Enterprise Risk Management Meeting - 10/10/24,10/10/2024,10/10/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0
101,2,23623,23623,HQ: Office of Sustainability,Plastic Free Week Planning Meeting - 9/4/24,9/4/2024,9/4/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,0
101,3,23623,23667,HQ: Office of Sustainability,Campus Tree Walk - Fall 2024 - 10/18/24,10/18/2024,10/18/2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,44
102,1,23614,23614,HQ: Office of the Chancellor,Site Visit to Greater Pittsburgh Community Foodbank,8/26/2024,8/26/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
102,2,23614,23638,HQ: Office of the Chancellor,Freespeech.pitt.edu 9/19/24,9/19/2024,9/19/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,24
102,3,23614,23639,HQ: Office of the Chancellor,ECA & ACE Fellow Nukhet Sandal,9/20/2024,9/20/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25
105,1,23611,23611,HQ: Pitt Research,Research Concierge Orientation,8/23/2024,8/23/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
105,2,23611,23638,HQ: Pitt Research,APLU Humanities Arts and Social Sciences Presentation,9/19/2024,9/19/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,27
106,3,23622,23622,"HQ: Planning, Design, and Construction",Central Oakland Demolition Strategy 9/3/24,9/3/2024,9/3/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
106,4,23622,23651,"HQ: Planning, Design, and Construction",Sennott Square Labor Concerns,10/2/2024,10/2/2024,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,29
106,5,23622,23656,"HQ: Planning, Design, and Construction",Sennott Square Labor Concerns Follow Up 10/7/24,10/7/2024,10/7/2024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,34
106,6,23622,23658,"HQ: Planning, Design, and Construction",Sennott Square Labor Concerns Mtng with OPDC 10/9/24,10/9/2024,10/9/2024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,36
107,1,23672,23672,HQ: Provost Office,Funding Students for Engagement,10/23/2024,10/23/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
112,1,23644,23644,HQ: School of Public Health,Intro with CHE Director Chapple-Mcgruder,9/25/2024,9/25/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
112,2,23644,23695,HQ: School of Public Health,Public Health Practice Showcase,11/15/2024,11/15/2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,51
113,1,23610,23610,HQ: Schools of Health Sciences,"Intro Meeting with Sylk Sotto - August 22, 2024",8/22/2024,8/22/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
114,1,23653,23653,HQ: Student Affairs,Consulting on PittServes Future Directions - 10/4/24,10/4/2024,10/4/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
114,2,23653,23658,HQ: Student Affairs,Meeting w/ Lorraine Craven - 10/9/24,10/9/2024,10/9/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5
114,3,23653,23660,HQ: Student Affairs,AVP/DOS Committee Pool Presentation,10/11/2024,10/11/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,7
114,4,23653,23663,HQ: Student Affairs,Event Support Team Training - 10/14/24,10/14/2024,10/14/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6,10
114,5,23653,23665,HQ: Student Affairs,Meeting w/ Off-Campus Student Services - 10/16/24,10/16/2024,10/16/2024,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12
114,6,23653,23670,HQ: Student Affairs,Interviews DOS/AVP Candidates,10/21/2024,10/21/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,17
114,7,23653,23671,HQ: Student Affairs,Interviews DOS/AVP Candidates,10/22/2024,10/22/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,18
114,8,23653,23671,HQ: Student Affairs,Interviews DOS/AVP Candidates,10/22/2024,10/22/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,18
114,9,23653,23673,HQ: Student Affairs,Oakland Community Walk with OCSS - 10/24/24,10/24/2024,10/24/2024,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,20
114,10,23653,23677,HQ: Student Affairs,AVP/DOS Committee Meeting w/finalists,10/28/2024,10/28/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,24
114,11,23653,23677,HQ: Student Affairs,AVP/DOS Town Hall Candidate A 10/28,10/28/2024,10/28/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,24
114,12,23653,23678,HQ: Student Affairs,AVP/DOS Committee Meeting w/finalists,10/29/2024,10/29/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,25
114,13,23653,23678,HQ: Student Affairs,AVP/DOS Town Hall Candidate B 10/29,10/29/2024,10/29/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,25
114,14,23653,23679,HQ: Student Affairs,AVP/DOS Town Hall Candidate C 10/30,10/30/2024,10/30/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,26
114,15,23653,23679,HQ: Student Affairs,AVP/DOS Committee Meeting w/finalists,10/30/2024,10/30/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,26
114,16,23653,23680,HQ: Student Affairs,AVP/DOS Committee Meeting w/finalists,10/31/2024,10/31/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,27
114,17,23653,23680,HQ: Student Affairs,AVP/DOS Town Hall Candidate D 10/31,10/31/2024,10/31/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,27
114,18,23653,23681,HQ: Student Affairs,AVP/DOS Committee Meeting w/finalists,11/1/2024,11/1/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,28
114,19,23653,23681,HQ: Student Affairs,AVP/DOS Town Hall Candidate E 11/1,11/1/2024,11/1/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,28
114,20,23653,23684,HQ: Student Affairs,Deliberation for AVP/DOS search,11/4/2024,11/4/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,31
114,21,23653,23687,HQ: Student Affairs,Student Affairs/Community Affairs Check In Meeting - 11/7/234,11/7/2024,11/7/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,34
114,22,23653,23698,HQ: Student Affairs,Meeting w/ Lorraine Craven - 11/18/24,11/18/2024,11/18/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,45
114,23,23653,23705,HQ: Student Affairs,ECA/FSL Check In Meeting - 11/25/24,11/25/2024,11/25/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,52
115,1,23702,23702,HQ: Surplus Property,Surplus Donations Overview Meeting - 11/22/24,11/22/2024,11/22/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
117,2,23665,23665,HQ: University Center for Social and Urban Research (UCSUR),UCSUR Director discussion mtg - 10/16/2024,10/16/2024,10/16/2024,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
117,3,23665,23684,HQ: University Center for Social and Urban Research (UCSUR),UCSUR Workshop - 11/4/2024,11/4/2024,11/4/2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,32,19
117,4,23665,23693,HQ: University Center for Social and Urban Research (UCSUR),Hill Health Alliance Discussion w/Bob Gradeck 11/13/24,11/13/2024,11/13/2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,28
118,1,23603,23603,HRAC Talent Management & Retention Subcommittee,HRAC Talent Management & Retention Subcommittee: First Meeting 8/15/2204,8/15/2024,8/15/2024,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
118,2,23603,23617,HRAC Talent Management & Retention Subcommittee,HRAC TMR Committee Meeting 8/29/2024,8/29/2024,8/29/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,14
118,3,23603,23631,HRAC Talent Management & Retention Subcommittee,HRAC TMR Meeting 9/12/2024,9/12/2024,9/12/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,28
118,4,23603,23644,HRAC Talent Management & Retention Subcommittee,HRAC TMR Meeting 9/25/2024,9/25/2024,9/25/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41
138,2,23587,23587,NSF Engine - RETI,NSF Workforce meeting with Betsy -7/30/2024,7/30/2024,7/30/2024,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
138,3,23587,23614,NSF Engine - RETI,NSF Engines Workforce Team Meeting  8/26/2024,8/26/2024,8/26/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,27
138,4,23587,23624,NSF Engine - RETI,NSF Engines Workforce 9/5/2024,9/5/2024,9/5/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,37
138,5,23587,23638,NSF Engine - RETI,NSF Engines Workforce 9/19/2024,9/19/2024,9/19/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,51
138,6,23587,23659,NSF Engine - RETI,Workforce Meeting - 10/10/2024,10/10/2024,10/10/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,72
138,7,23587,23680,NSF Engine - RETI,Workforce Meeting - 10/31/2024,10/31/2024,10/31/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,93
138,8,23587,23681,NSF Engine - RETI,Bi-Weekly Meeting - 11/1/2024,11/1/2024,11/1/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,94
138,9,23587,23684,NSF Engine - RETI,Workforce Meeting 11/4/2024,11/4/2024,11/4/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,97
138,10,23587,23694,NSF Engine - RETI,Workforce Meeting - 11/14/2024,11/14/2024,11/14/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,107
138,11,23587,23695,NSF Engine - RETI,NSF Engines RETI Bi-weekly meeting - 11/15/2024,11/15/2024,11/15/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,108
138,12,23587,23714,NSF Engine - RETI,Workforce Meeting - 12/4/2024,12/4/2024,12/4/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,127
138,13,23587,23716,NSF Engine - RETI,NSF Engines RETI Bi-weekly Check in - 12/6/2024,12/6/2024,12/6/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,129
138,14,23587,23723,NSF Engine - RETI,NSF Engines RETI Bi-weekly Check in - 12/13/2024,12/13/2024,12/13/2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,136
